 ,Area,Mean,Min,Max,Angle,Length,Angle Normalized
539,0.945,159.219,94.017,241.482,82.451,12.559,82.451
540,0.962,213.051,171.874,243,-50.021,12.724,129.979
541,0.922,202.705,137.007,243,60.124,12.196,60.124
542,0.832,196.107,130.198,243,31.633,11.011,31.633
543,1.001,202.497,138.649,243,69.823,13.264,69.823
544,1.086,192.385,114.799,243,44.366,14.373,44.366
545,1.237,199.415,106.505,243,-98.686,16.388,81.314
546,1.119,213.497,158.65,243,-96.659,14.875,83.341
547,0.883,211.042,135.65,243,-67.042,11.729,112.958
548,0.793,186.711,133.444,243,-40.956,10.527,139.044
549,1.086,124.05,49.542,243,106.356,14.382,106.356
550,1.108,119.615,58.796,243,-88.247,14.707,91.753
551,1.327,213.703,121.454,243,-19.67,17.602,160.33
552,1.243,208.497,143.214,243,104.982,16.537,104.982
553,0.939,201.302,133.994,243,134.756,12.463,134.756
554,1.024,205.812,138.235,243,11.497,13.547,11.497
555,0.996,126.308,61.946,243,31.522,13.197,31.522
556,0.821,160.938,83,232.334,70.186,10.842,70.186
557,1.513,164.102,143.908,240.582,-19.654,20.069,160.346
558,0.832,117.057,56.178,243,-65.007,11.006,114.993
559,0.726,99.359,53.462,227.528,-14.036,9.58,165.964
560,1.232,209.047,139.208,243,-107.855,16.382,72.145
561,1.237,174.993,63.198,243,37.6,16.401,37.6
562,1.119,203.542,109.596,243,-26.435,14.848,153.565
563,1.344,201.359,143.554,243,-2.899,17.823,177.101
564,1.496,209.43,126.937,243,-17.819,19.86,162.181
565,1.462,207.509,150.412,243,-18.925,19.449,161.075
566,1.086,196.83,81,243,99.61,14.401,99.61
567,1.378,212.102,156.166,243,0.704,18.301,0.704
568,1.356,190.485,82.92,243,-5.734,17.99,174.266
569,1.198,214.786,155.667,243,1.081,15.903,1.081
570,1.176,200.908,191.81,242.579,49.1,15.597,49.1
571,1.496,211.046,145.576,243,19.872,19.864,19.872
572,1.249,133.909,52.62,239.302,42.987,16.556,42.987
573,1.266,185.353,62.349,243,-89.488,16.8,90.512
574,1.074,223.838,163.543,243,23.871,14.271,23.871
575,0.917,104.085,17,227.362,-34.963,12.172,145.037
576,0.962,115.536,58.671,222.661,-29.284,12.726,150.716
577,1.069,163.508,75,241.876,-19.104,14.208,160.896
578,0.686,153.759,76.711,223.097,32.905,9.112,32.905
579,0.72,84.336,48.781,194.086,-12.284,9.513,167.716
580,0.759,101.233,57.279,237.309,-37.988,10.042,142.012
581,0.669,96.076,45.179,206.405,-29.384,8.819,150.616
582,0.866,112.856,0,225.069,-45.531,11.456,134.469
583,1.159,123.591,0,242.705,34.077,15.338,34.077
584,1.485,106.117,56.455,231.8,-2.186,19.712,177.814
585,0.765,144.138,84.479,229.629,-60.781,10.121,119.219
586,1.041,94.762,48.064,219.99,-71.959,13.788,108.041
587,1.108,116.882,42.878,240.786,48.537,14.666,48.537
588,1.102,117.431,42.063,239.993,48.342,14.591,48.342
589,0.922,155.316,26.466,230.964,142.431,12.261,142.431
590,1.187,161.927,106.481,233.133,-6.551,15.778,173.449
591,0.804,129.287,30.056,234.706,53.616,10.62,53.616
592,0.686,129.691,54.397,220.111,81.399,9.059,81.399
593,0.568,204.447,118.235,242.744,-100.305,7.522,79.695
594,0.787,193.516,82.386,242.241,-123.232,10.401,56.768
595,0.742,175.246,80.954,241.595,-70.731,9.788,109.269
596,0.658,171.411,73.799,243,47.793,8.674,47.793
597,0.838,198.189,76.938,243,4.667,11.083,4.667
598,0.737,214.309,156.5,243,-77.998,9.768,102.002
599,0.484,211.364,159.77,243,-84.623,6.378,95.377
600,0.304,204.107,139.365,243,131.186,3.965,131.186
