 ,Area,Mean,Min,Max,Angle,Length,Angle Normalized
448,0.951,194.786,126.918,243,50.326,12.605,50.326
449,0.703,213.443,171.378,243,-18.435,9.281,161.565
450,0.782,192.981,120.937,242.245,-17.776,10.341,162.224
451,0.861,126.532,89.713,231.195,-27.917,11.385,152.083
452,0.889,182.998,100.382,243,-12.804,11.801,167.196
453,0.579,172.918,73.081,243,-22.533,7.642,157.467
454,0.821,196.745,122.668,242.643,-20.695,10.856,159.305
455,0.709,182.233,101.861,243,-23.682,9.356,156.318
456,0.782,197.29,122.908,243,-71.828,10.372,108.172
457,1.232,214.835,133.778,243,-63.553,16.368,116.447
458,0.861,176.694,105.886,243,-67.496,11.365,112.504
459,1.029,107.563,61.222,218.78,-70.071,13.618,109.929
460,0.979,186.508,123.428,243,-29.663,12.987,150.337
461,0.787,199.706,127.444,243,-24.171,10.407,155.829
462,0.759,218.2,155.345,242.627,-73.465,10.014,106.535
463,0.658,150.363,0,233.575,33.417,8.695,33.417
464,0.748,123.903,98.472,209.469,-6.963,9.879,173.037
465,0.63,174.923,158.338,223.653,-36.973,8.32,143.027
466,0.534,194.994,175.267,239.222,-44.569,7.036,135.431
467,0.793,157.299,106,240.47,-52.481,10.521,127.519
468,0.692,108.573,81.371,197.376,-27.824,9.147,152.176
469,0.872,136.777,85.785,235.212,-71.801,11.542,108.199
470,0.906,135.483,99.102,236.75,38.379,11.994,38.379
471,0.596,154.826,88.281,238.79,37.635,7.881,37.635
472,0.838,193.083,131.841,242.851,-39.806,11.114,140.194
473,0.636,141.295,98.857,243,33.261,8.376,33.261
474,0.81,184.951,41.752,243,-64.863,10.759,115.137
475,0.484,205.412,153.378,243,-55.939,6.407,124.061
476,0.956,171.219,10.92,242.746,44.281,12.658,44.281
477,0.534,156.699,128.051,230.148,-17.86,7.084,162.14
478,0.922,159.557,64.187,242.41,-10.62,12.209,169.38
479,0.697,204.476,145.34,233.554,-20.501,9.223,159.499
480,0.517,110.801,47.359,234.5,8.842,6.839,8.842
481,0.489,187.894,124.792,243,27.759,6.418,27.759
482,0.45,178.009,75.222,242.409,70.641,5.93,70.641
483,0.652,157.199,125,225.52,-4.514,8.628,175.486
484,0.523,156.441,130.11,228.728,-8.746,6.881,171.254
485,0.686,187.765,163.225,237.753,-39.323,9.098,140.677
486,0.647,145.515,9.682,243,39.999,8.521,39.999
487,0.737,138.975,38.4,239.716,35.281,9.724,35.281
488,0.928,185.498,91.496,243,-47.468,12.317,132.532
489,0.669,207.457,0,243,-41.231,8.857,138.769
490,0.737,196.103,113.349,239.338,47.49,9.767,47.49
491,0.793,207.745,138.51,243,-17.791,10.515,162.209
492,0.951,223.093,196.523,243,-34.824,12.608,145.176
493,0.939,211.875,165.545,243,-17.23,12.447,162.77
494,0.658,212.66,172.811,242.265,64.323,8.676,64.323
495,0.883,226.338,205,243,-2.936,11.715,177.064
496,0.877,223.698,203,242.771,-0.372,11.6,179.628
497,0.692,225.676,199,242.71,-3.311,9.114,176.689
498,0.652,218.043,185.376,242.656,-67.92,8.616,112.08
499,0.647,218.503,189.494,243,-78.395,8.58,101.605
500,0.546,228.753,205.967,243,-81.617,7.177,98.383
501,0.917,205.226,170.233,233.393,-10.685,12.16,169.315
502,0.81,179.623,169.337,193.964,-9.265,10.735,170.735
503,0.742,191.55,177.392,232.949,-10.109,9.857,169.891
504,0.647,177.936,158.818,225.51,33.13,8.529,33.13
505,0.579,185.271,161.591,234.944,25.051,7.627,25.051
506,0.793,197.146,107.263,242.566,24.918,10.491,24.918
507,0.832,135.044,108.017,219.624,24.476,11.053,24.476
508,0.658,145.195,100.115,219.875,22.81,8.673,22.81
509,0.922,210.752,157.433,242.589,-9.23,12.199,170.77
510,1.024,168.135,152.44,204.19,-9.567,13.538,170.433
511,0.585,177.699,153.72,233.461,-11.201,7.688,168.799
512,0.945,157.981,126.743,240.716,-57.265,12.525,122.735
513,1.136,153.379,116.101,226.002,-59.477,15.066,120.523
514,1.08,157.041,124.44,231.202,-55.229,14.3,124.771
515,0.658,222.229,198.61,243,-45,8.697,135
516,0.99,213.557,172.173,243,-22.166,13.092,157.834
517,1.119,189.285,140.947,229.961,-18.893,14.847,161.107
518,1.226,220.736,160.333,243,0.265,16.25,0.265
519,1.176,148.61,116.683,225.778,-2.752,15.618,177.248
520,1.08,189.624,102.064,243,-40.342,14.328,139.658
521,1.108,180.192,93.339,243,-43.552,14.712,136.448
522,0.951,208.784,168.476,243,-24.274,12.621,155.726
523,0.984,214.047,170.367,243,-24.063,13.027,155.937
524,0.967,149.393,132.577,176.333,-17.694,12.793,162.306
525,1.063,199.056,142.884,242.136,-27.518,14.089,152.482
526,0.456,163.601,152.293,172.307,-20.726,5.981,159.274
527,0.996,135.482,94.26,215.583,13.799,13.23,13.799
528,1.074,154.77,98.515,238.872,-23.993,14.235,156.007
529,0.771,211.428,171.23,243,-76.88,10.212,103.12
530,1.102,217.222,176.556,241.178,-42.293,14.654,137.707
531,0.877,215.735,178.889,243,-43.169,11.638,136.831
532,0.787,228.899,213.487,243,61.587,10.403,61.587
