 ,Area,Mean,Min,Max,Angle,Length,Angle Normalized
394,0.754,194.227,99.497,240.686,-111.318,9.944,68.682
395,0.855,222.042,195.747,243,11.014,11.355,11.014
396,0.703,157.609,144.645,235.661,-9.236,9.321,170.764
397,0.787,174.72,160.891,211.15,4.97,10.443,4.97
398,0.838,202.12,174.925,229.318,6.212,11.065,6.212
399,0.838,192.566,182.666,202.839,9.335,11.097,9.335
400,0.619,196.27,146.058,240.095,-101.104,8.207,78.896
401,0.579,144.993,90.463,204.241,41.399,7.653,41.399
402,0.596,204.231,158.985,242.698,19.47,7.907,19.47
403,0.804,175.031,108.601,242.349,2.822,10.662,2.822
404,0.967,175.534,88.798,243,15.578,12.823,15.578
405,0.669,177.66,74.84,243,15.68,8.846,15.68
406,0.427,204.033,117.892,243,-108.435,5.629,71.565
407,0.726,199.746,120.775,243,-127.049,9.61,52.951
408,0.771,211.951,164.278,243,18.834,10.23,18.834
409,0.787,199.967,160.521,235.079,24.546,10.449,24.546
410,0.844,217.148,177.83,243,24.158,11.169,24.158
411,0.686,229.59,201.357,242.865,10.091,9.043,10.091
412,0.731,226.015,200.388,243,-19.415,9.693,160.585
413,0.799,223.502,200.051,243,-19.463,10.595,160.537
414,1.035,212.399,176.109,242.716,-15.474,13.744,164.526
415,1.001,230.434,209.338,243,7.445,13.309,7.445
416,1.029,207.077,175.07,243,6.305,13.682,6.305
417,0.911,227.346,203.399,242.787,7.125,12.1,7.125
418,0.99,227.401,202.422,243,5.254,13.11,5.254
419,0.574,219.456,192.633,242.812,7.97,7.573,7.97
420,0.827,214.754,143.237,242.726,3.918,10.979,3.918
421,0.844,221.497,182.94,243,2.672,11.211,2.672
422,0.731,201.215,153.421,242.768,1.332,9.652,1.332
423,0.562,154.878,126.544,218.842,-2.314,7.456,177.686
424,0.804,196.395,133.103,243,-2.822,10.614,177.178
425,0.821,163.111,100.345,230.245,-20.186,10.897,159.814
426,0.697,214.912,160.138,243,-15.945,9.244,164.055
427,0.647,147.379,130.229,196.481,-21.431,8.58,158.569
428,0.787,186.294,170.563,213.908,-5.751,10.453,174.249
429,0.669,195.836,173.712,215.695,-1.941,8.855,178.059
430,0.866,181.413,169.741,194.434,4.112,11.482,4.112
431,0.714,186.742,163.316,231.772,21.038,9.434,21.038
432,0.456,177.732,144.06,234.174,50.56,6.005,50.56
433,0.765,190.607,170.111,236.794,-5.117,10.09,174.883
434,0.816,195.719,180.25,241.028,-27.277,10.801,152.723
435,0.726,215.381,160.009,243,24.963,9.596,24.963
436,0.675,184.302,162.339,242.742,-26.565,8.9,153.435
437,0.506,156.523,144.06,203.616,-35.311,6.673,144.689
438,0.551,156.861,0,236.884,57.301,7.267,57.301
439,0.652,212.462,94.39,243.264,87.013,8.659,87.013
440,0.675,169.183,82.286,234.648,90.963,8.951,90.963
441,0.816,158.098,110.764,241.847,21.209,10.78,21.209
